부품코드,부품명,분류,현재고,안전재고,단위,주요거래처
PRT-001,Bracket 1,센서부품,2000,500,EA,(주)케이태우
^PRT-002,Sensor 1,센서부품,1970,500,EA,(주)케이태우
^PRT-003,Sensor 2,센서부품,1970,500,EA,(주)케이태우
PRT-004,센서실리콘 PRT0002,실리콘,21600,5000,EA,-
PRT-005,센서실리콘 PRT0007,실리콘,21600,5000,EA,-
^SUB-001,고급형 스티커,부자재,9970,2000,EA,스티커제조사
SUB-002,일반형 스티커(원형),부자재,5000,2000,EA,-
^SUB-003,골프 박스(흰색/고급),부자재,470,200,EA,-
SUB-004,골프 박스(갈색/일반),부자재,300,200,EA,-
SUB-005,파크 외피박스,부자재,400,200,EA,-
SUB-006,파크 내피박스A,부자재,400,200,EA,-
SUB-007,파크 내피박스B,부자재,400,200,EA,-
^MAT-001,상판 백색,케이스,1180,300,EA,협력업체
MAT-002,상판 적색,케이스,1512,300,EA,협력업체
^MAT-003,하판 CASE,케이스,1730,300,EA,협력업체
^MAT-004,매트,매트,770,200,EA,서진카페트
^MAT-005,배터리,전자부품,8800,500,EA,배터리업체
GRP-001,그립 SO,해외수입,103,50,EA,해외거래처
GRP-002,그립 SJ,해외수입,205,50,EA,해외거래처
